Artikelnummer ,Omschrijving,Capaciteit,Hijshoogte,Aantalparten
192028202,YaleERGO 360 1500,1500,1.5,1
192028204,YaleERGO 360 750,750,1.5,1
192028553,YaleERGO 360 3000,3.000,1.5,1
192035451,YaleERGO 360 6000,6.000,1.5,2
192039362,YaleERGO 360 9000,9.000,1.5,3
192058102,YaleERGO360,750,3.0,1
192058103,YaleERGO360,750,6.0,1
192058104,YaleERGO360,1.500,3.0,1
192058105,YaleERGO361,1.500,6.0,1
192058106,YaleERGO362,3.000,3.0,1
192058107,YaleERGO363,3.000,6.0,1
192083509,YaleERGO364,6.000,3.0,2
192083510,YaleERGO365,9.000,3.0,3
192083511,YaleERGO360,6.000,6.0,2
192083512,YaleERGO360,9.000,6.0,3
