Type,Capaciteit (kg),Snelheid (m/min),Parten
"SH 5016-20 1/1 *2,3",1600,"3,3/20","1/1 *2,3"
"SH 5020-20 1/1 *2,3",2.000,"3,3/20","1/1 *2,3"
"SH 5025-20 1/1 *2,3",2.500,"3,3/20","1/1 *2,3"
SH 5016-25 2/1,3200,"2/12,5",2/1
SH 5016-40 2/1 *3,3200,"3,3/20",2/1 *3
"SH 5032-16 1/1 *2,3",3200,"2,6/16","1/1 *2,3"
SH 5020-25 2/1,4000,"2/12,5",2/1
SH 5020-40 2/1 *3,4000,"3,3/20",2/1 *3
SH 5025-20 2/1,5000,"1,6/10",2/1
SH 5025-32 2/1 *3,5000,"2,6/16",2/1 *3
SH 5016-25 4/1,6300,"1/6,3",4/1
SH 5016-40 4/1,6300,"1,6/10",4/1
SH 5032-25 2/1,6300,"2/12,5",2/1
SH 5020-25 4/1,8000,"1/6,3",4/1
SH 5020-40 4/1,8000,"1,6/10",4/1
SH 5025-20 4/1,10000,"0,8/5",4/1
SH 5025-32 4/1,10000,"1,3/8",4/1
SH 5032-25 4/1,12500,"1/6,3",4/1
SH 5016-20 2/2-1 *2,1600,"3,3/20",2/2-1 *2
SH 5020-20 2/2-1 *2,2000,"3,3/20",2/2-1 *2
SH 5025-20 2/2-1 *2,2500,"3,3/20",2/2-1 *2
SH 5016-25 4/2-1,3200,"2/12,5",4/2-1
SH 5016-40 4/2-1,3200,"3,3/20",4/2-2
SH 5032-16 2/2-1 *2,3200,"2,6/16",2/2-1 *2
SH 5020-25 4/2-1,4000,"2/12,5",4/2-1
SH 5020-40 4/2-1,4000,"3,3/20",4/2-1
SH 5025-20 4/2-1,5000,"1,6/10",4/2-1
SH 5025-32 4/2-1,5000,"2,6/16",4/2-1
SH 5032-25 4/2-1,6300,"2/12,5",4/2-1
SH 5016-20 2/2-2,2x 800,"3,3/20",2/2-2
SH 5020-20 2/2-2,2x 1000,"3,3/20",2/2-2
SH 5025-20 2/2-2,2x 1250,"3,3/20",2/2-2
SH 5016-25 4/2-2,2x 1600,"2/12,5",4/2-2
SH 5016-40 4/2-2,2x 1600,"3,3/20",4/2-2
SH 5032-16 2/2-2,2x 1600,"2,6/16",2/2-2
SH 5020-25 4/2-2,2x 2000,"2/12,5",4/2-2
SH 5020-40 4/2-2,2x 2000,"3,3/20",4/2-2
SH 5025-20 4/2-2,2x 2500,"1,6/10",4/2-2
SH 5025-32 4/2-2,2x 2500,"2,6/16",4/2-2
SH 5032-25 4/2-2,2x 3200,"2/12,5",4/2-2
