ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,variable,sh30-series,,,Type,"SH 3005-25 1/1 *2, SH 3005-25 2/1, SH 3005-25 2/2-1 *2, SH 3005-25 2/2-2, SH 3005-25 4/1, SH 3005-25 4/2-1, SH 3005-25 4/2-2, SH 3005-40 2/1, SH 3005-40 4/1, SH 3005-40 4/2-1, SH 3005-40 4/2-2, SH 3006-25 1/1 *2, SH 3006-25 2/1, SH 3006-25 2/2-1 *2, SH 3006-25 2/2-2, SH 3006-25 4/1, SH 3006-25 4/2-1, SH 3006-25 4/2-2, SH 3006-40 2/1, SH 3006-40 4/1, SH 3006-40 4/2-1, SH 3008-20 1/1 *2, SH 3008-20 2/1, SH 3008-20 2/2-1 *2, SH 3008-20 2/2-2, SH 3008-20 4/1, SH 3008-20 4/2-1, SH 3008-20 4/2-2, SH 3008-32 2/1, SH 3008-32 4/1, SH 3008-32 4/2-1, SH 3008-32 4/2-2, SH 4010-20 2/2-1 *2",1,0,Capaciteit (kg),"1.000, 1.250, 1.600, 2.000, 2.500, 2x 250, 2x 320, 2x 500, 2x 630, 2x 800, 2x400, 3.200, 500, 630, 800",1,0,Snelheid (m/min),"0,8/5, 1,3/8, 1,6/10, 1/6,3, 2,6/16, 2/12,5, 3,3/20, 4,1/25",1,0,Parten,"1/1, 2/1, 2/2-1, 2/2-2, 4/1, 4/2-1, 4/2-2",1,0
,variable,sh40-series,,,Type,"SH 4008-20 1/1 *2, SH 4008-20 2/2-1 *2, SH 4008-20 2/2-2, SH 4008-25 2/1, SH 4008-25 4/1, SH 4008-25 4/2-1, SH 4008-25 4/2-2, SH 4008-40 2/1 *3, SH 4008-40 4/1, SH 4008-40 4/2-1, SH 4008-40 4/2-2, SH 4010-20 1/1 *2, SH 4010-20 2/2-1 *2, SH 4010-20 2/2-2, SH 4010-25 2/1, SH 4010-25 4/1, SH 4010-25 4/2-1, SH 4010-25 4/2-2, SH 4010-40 2/1 *3, SH 4010-40 4/1, SH 4010-40 4/2-1, SH 4010-40 4/2-2, SH 4012-20 1/1 *2, SH 4012-20 2/1, SH 4012-20 2/2-1 *2, SH 4012-20 2/2-2, SH 4012-20 4/1, SH 4012-20 4/2-1, SH 4012-20 4/2-2, SH 4012-32 2/1 *3, SH 4012-32 4/1, SH 4012-32 4/2-1, SH 4012-32 4/2-2, SH 4016-16 1/1 *2,3, SH 4016-16 2/1, SH 4016-16 2/2-1 *2, SH 4016-16 2/2-2, SH 4016-16 4/1, SH 4016-16 4/2-1, SH 4016-16 4/2-2, SH 4016-25 2/1 *3, SH 4016-25 4/1, SH 4016-25 4/2-1, SH 4016-25 4/2-2",1,0,Capaciteit (kg),"1000, 1250, 1600, 2.500, 2000, 2500, 2x 1000, 2x 1250, 2x 1600, 2x 400, 2x 500, 2x 630, 2x 800, 3200, 4000, 5000, 6300, 800",1,0,Snelheid (m/min),"0,6/4, 0,8/5, 1,3/8, 1,6/10, 1/6,3, 2,6/16, 2/12,5, 3,3/20",1,0,Parten,"1/1 *2, 1/1 *2,3, 2/1, 2/1 *3, 2/12,5, 2/2-1 *2, 2/2-2, 4/1, 4/2-1, 4/2-2",1,0
,variable,sh50-series,,,Type,"SH 5016-20 1/1 *2,3, SH 5016-20 2/2-1 *2, SH 5016-20 2/2-2, SH 5016-25 2/1, SH 5016-25 4/1, SH 5016-25 4/2-1, SH 5016-25 4/2-2, SH 5016-40 2/1 *3, SH 5016-40 4/1, SH 5016-40 4/2-1, SH 5016-40 4/2-2, SH 5020-20 1/1 *2,3, SH 5020-20 2/2-1 *2, SH 5020-20 2/2-2, SH 5020-25 2/1, SH 5020-25 4/1, SH 5020-25 4/2-1, SH 5020-25 4/2-2, SH 5020-40 2/1 *3, SH 5020-40 4/1, SH 5020-40 4/2-1, SH 5020-40 4/2-2, SH 5025-20 1/1 *2,3, SH 5025-20 2/1, SH 5025-20 2/2-1 *2, SH 5025-20 2/2-2, SH 5025-20 4/1, SH 5025-20 4/2-1, SH 5025-20 4/2-2, SH 5025-32 2/1 *3, SH 5025-32 4/1, SH 5025-32 4/2-1, SH 5025-32 4/2-2, SH 5032-16 1/1 *2,3, SH 5032-16 2/2-1 *2, SH 5032-16 2/2-2, SH 5032-25 2/1, SH 5032-25 4/1, SH 5032-25 4/2-1, SH 5032-25 4/2-2",1,0,Capaciteit (kg),"10000, 12500, 1600, 2.000, 2.500, 2000, 2500, 2x 1000, 2x 1250, 2x 1600, 2x 2000, 2x 2500, 2x 3200, 2x 800, 3200, 4000, 5000, 6300, 8000",1,0,Snelheid (m/min),"0,8/5, 1,3/8, 1,6/10, 1/6,3, 2,6/16, 2/12,5, 3,3/20",1,0,Parten,"1/1 *2,3, 2/1, 2/1 *3, 2/2-1 *2, 2/2-2, 4/1, 4/2-1, 4/2-2",1,0
,variable,sh60-series,,,Type,"SH 6025-20 2/2-2, SH 6025-20 4/2-1, SH 6025-20 4/2-2, SH 6025-32 4/2-1, SH 6025-32 4/2-2, SH 6025-40 4/2-1, SH 6025-40 4/2-2, SH 6032-16 2/2-2, SH 6032-16 4/2-1, SH 6032-16 4/2-2, SH 6032-25 2/2-2, SH 6032-25 4/2-1, SH 6032-25 4/2-2, SH 6032-40 4/2-1, SH 6032-40 4/2-2, SH 6040-12 1/1, SH 6040-12 2/1, SH 6040-12 2/2-1, SH 6040-12 2/2-2, SH 6040-12 4/1 *2, SH 6040-12 4/2-1, SH 6040-12 4/2-2, SH 6040-12 8/2-1, SH 6040-20 1/1 *3, SH 6040-20 2/1, SH 6040-20 2/2-1, SH 6040-20 2/2-2, SH 6040-20 4/1 *2, SH 6040-20 4/2-1, SH 6040-20 4/2-2, SH 6040-20 8/2-1, SH 6040-32 2/1 *3, SH 6040-32 4/1 *2, SH 6040-32 4/2-1, SH 6040-32 4/2-2, SH 6040-32 8/2-1, SH 6050-16 1/1 *3, SH 6050-16 2/1, SH 6050-16 2/2-1, SH 6050-16 2/2-2, SH 6050-16 4/1 *2, SH 6050-16 4/2-1, SH 6050-16 4/2-2, SH 6050-16 8/2-1, SH 6050-20 1/1 *3, SH 6050-20 2/2-1, SH 6050-20 2/2-2, SH 6050-25 2/1, SH 6050-25 4/1 *2, SH 6050-25 4/2-1, SH 6050-25 4/2-2, SH 6050-25 8/2-1, SH 6050-32 2/1 *3, SH 6050-32 4/1 *2, SH 6050-32 4/2-1, SH 6050-32 8/2-1, SH 6050-40 2/1 *3, SH 6050-40 4/1 *2, SH 6050-40 4/2-1, SH 6050-40 8/2-1, SH 6063-12 1/1, SH 6063-12 2/1, SH 6063-12 2/2-1, SH 6063-12 2/2-2, SH 6063-12 4/1 *2, SH 6063-12 4/2-1, SH 6063-12 4/2-2, SH 6063-12 8/2-1, SH 6063-20 1/1 *3, SH 6063-20 2/1, SH 6063-20 2/2-1, SH 6063-20 2/2-2, SH 6063-20 4/1 *2, SH 6063-20 4/2-1, SH 6063-20 4/2-2, SH 6063-20 8/2-1, SH 6063-25 2/1, SH 6063-25 4/1 *2, SH 6063-25 4/2-1, SH 6063-25 8/2-1, SH 6063-32 2/1 *3, SH 6063-32 4/1 *2, SH 6063-32 4/2-1, SH 6063-32 8/2-1, SH 6080-10 4/1, SH 6080-16 4/1, SH 6080-20 4/1, SHR 6025-20 2/1, SHR 6025-20 4/1, SHR 6025-32 2/1 *3, SHR 6025-32 4/1, SHR 6025-40 2/1 *3, SHR 6025-40 4/1, SHR 6032-16 2/1, SHR 6032-16 4/1, SHR 6032-25 2/1, SHR 6032-25 4/1, SHR 6032-40 2/1 *3, SHR 6032-40 4/1, SHR 6040-12 2/1, SHR 6040-12 4/1, SHR 6040-20 2/1, SHR 6040-20 4/1, SHR 6040-32 2/1 *3, SHR 6040-32 4/1",1,0,Capaciteit (kg),"10.000, 12.500, 16.000, 20.000, 25.000, 2x 1250, 2x 1600, 2x 2.500, 2x 2000, 2x 3.200, 2x 4.000, 2x 5.000, 2x 6.300, 32.000, 4.000, 4000, 5.000, 5000, 6.300, 8.000",1,0,Snelheid (m/min),"0,4/2,5, 0,5/3,1, 0,6/4, 0,8/5, 1,3/8, 1,6/10, 1/6,3, 2,6/16, 2/12,5, 3,3/20, 4,1/25",1,0,Parten,"1/1, 2/1, 2/2-1, 2/2-2, 4/1, 4/2-1, 4/2-2, 8/2-1",1,0
,variation,sh30-series-001,sh30-series,0,Type,SH 3005-25 1/1 *2,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),"4,1/25",1,0,Parten,1/1,1,0
,variation,sh30-series-002,sh30-series,0,Type,SH 3006-25 1/1 *2,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),"4,1/25",1,0,Parten,1/1,1,0
,variation,sh30-series-003,sh30-series,0,Type,SH 3008-20 1/1 *2,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),"3,3/20",1,0,Parten,1/1,1,0
,variation,sh30-series-004,sh30-series,0,Type,SH 3005-25 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),"2/12,5",1,0,Parten,2/1,1,0
,variation,sh30-series-005,sh30-series,0,Type,SH 3005-40 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),"3,3/20",1,0,Parten,2/1,1,0
,variation,sh30-series-006,sh30-series,0,Type,SH 3006-25 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),"2/12,5",1,0,Parten,2/1,1,0
,variation,sh30-series-007,sh30-series,0,Type,SH 3006-40 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),"3,3/20",1,0,Parten,2/1,1,0
,variation,sh30-series-008,sh30-series,0,Type,SH 3006-40 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),"3,3/20",1,0,Parten,2/1,1,0
