Type,Capaciteit (kg),Snelheid (m/min),Parten
ST 1002-16/4 1/1,250,16/4,1/1
"ST 1002-25/6,3 1/1",250,"25/6,3",1/1
ST 1003-8 1/1,320,8,1/1
 ST 1003-8/2 1/1,320,8/2,1/1
ST 1003-12 1/1,320,12,1/1
ST 1003-12/3 1/1,320,12/3,1/1
ST 1002-8 2/1,500,8,1/1
ST 1002-8/2 2/1,500,8/2,1/1
ST 1005-8 1/1,500,8,1/1
ST 1005-8/2 1/1,500,8/2,1/1
ST 1005-12 1/1,500,12,1/1
ST 1005-12/3 1/1,500,12/3,1/1
ST 0503-6 2/1,630,6,2/1
"ST 0503-6/1,5 2/1",630,"6/1,5",2/1
ST 1003-8/2 2/1,630,8/2,2/1
ST 1004-8 2/1,800,8,2/1
ST 1004-8/2 2/1,800,8/2,2/1
ST 1005-8 2/1,1.000,8,2/1
ST 1005-8/2 2/1,1.000,8/2,2/1
ST 1005-12 2/1,1.000,12,2/1
ST 1005-12/3 2/1,1.000,12/3,2/1
