Artikelnummer,Omschrijving,Capaciteit,Balkbreedte,Hijshoogte,Aantal parten
N04900044,YL ITP 500,500,50-180,3.0,1
N04900045,YL ITP 1000,1.000,50-180,3.0,1
N04900046,YL ITP 2000,2.000,58-180,3.0,1
N04900047,YL ITP 3000,3.000,74-180,3.0,1
N04900020,YL ITP 5000,5.000,98-180,3.0,2
N04900056,YL ITG 500,500,50-180,3.0,1
N04900057,YL ITG 1000,1.000,50-180,3.0,1
N04900058,YL ITG 2000,2.000,58-180,3.0,1
N04900059,YL ITG 3000,3.000,74-180,3.0,1
N04900060,YL ITG 5000,5.000,98-180,3.0,2
N04900061,YL ITG 10000,10.000,125-310,3.0,3
N04900055,YL ITG 20000,20.000,180-310,3.0,6
